"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x928683835","x1483962434322939912",2022-01-20 00:39:49,"wreckedblair","@CheesyGuyer Dunkin coffee&gt;&gt;&gt; howeverrrrr mid donuts","Twitter for iPhone",48,"x1483962239447146496","x948094719208325120","CheesyGuyer",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x948094719208325120","CheesyGuyer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wreckedblair/status/1483962434322939912","blair","she/her","If I know you, I most likely do not like you. || 23 || #jadedcult 🦇 || #ITB","https://t.co/Y0tMooQwtM",FALSE,474,477,23,20133,21854,2012-11-06 00:21:15,FALSE,"https://t.co/Y0tMooQwtM","https://www.amazon.com/hz/wishlist/ls/3869HGCSACU76?ref_=wl_share",,"https://pbs.twimg.com/profile_banners/928683835/1625443155","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1452056907699658752/jJAsl5v5_normal.jpg"
"x948094719208325120","x1483962075345002496",2022-01-20 00:38:24,"CheesyGuyer","@wreckedblair Dunkin&gt;&gt;&gt;&gt;&gt;","Twitter for Android",26,"x1483961949507440642","x928683835","wreckedblair",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x928683835","wreckedblair","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CheesyGuyer/status/1483962075345002496","𝕔𝕖𝕔𝕚𝕒𝕝𝕚𝕒 || 𝕄𝕣.ℂ𝕙𝕖𝕖𝕤𝕪","Home is wherever you are ","“This is called edging”-Harry styles || Rhett 🤍 || 17 || #jadedcult 🖤 || Lex || aka Dinkle || ♡","https://t.co/ABbcO5HAZm",FALSE,223,217,20,4037,12709,2018-01-02 07:32:50,FALSE,"https://t.co/ABbcO5HAZm","http://twitch.tv/rhett",,"https://pbs.twimg.com/profile_banners/948094719208325120/1642380510",,"http://pbs.twimg.com/profile_images/1482877267403493383/dw0_rvCc_normal.jpg"
"x948094719208325120","x1483962239447146496",2022-01-20 00:39:03,"CheesyGuyer","@wreckedblair Dunkin &gt; Krispy Kreme anydayyyyy","Twitter for Android",35,"x1483962131137679362","x928683835","wreckedblair",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x928683835","wreckedblair","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CheesyGuyer/status/1483962239447146496","𝕔𝕖𝕔𝕚𝕒𝕝𝕚𝕒 || 𝕄𝕣.ℂ𝕙𝕖𝕖𝕤𝕪","Home is wherever you are ","“This is called edging”-Harry styles || Rhett 🤍 || 17 || #jadedcult 🖤 || Lex || aka Dinkle || ♡","https://t.co/ABbcO5HAZm",FALSE,223,217,20,4037,12709,2018-01-02 07:32:50,FALSE,"https://t.co/ABbcO5HAZm","http://twitch.tv/rhett",,"https://pbs.twimg.com/profile_banners/948094719208325120/1642380510",,"http://pbs.twimg.com/profile_images/1482877267403493383/dw0_rvCc_normal.jpg"
"x1072715887768166400","x1483962018344443908",2022-01-20 00:38:10,"ferzacif","Fácilmente podría comerme 20 donas del dunkin rellenas con manjar, tengo un problema de adicción heavy","Twitter for Android",102,,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ferzacif/status/1483962018344443908","lafeñita","","queen of jumping to conclusions, over-thinking and worrying, med uss.",,FALSE,243,175,0,5299,30567,2018-12-12 04:52:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/1072715887768166400/1582239209",,"http://pbs.twimg.com/profile_images/1481571750307512320/yQvp1YaW_normal.jpg"
"x3001567475","x1483961980742508545",2022-01-20 00:38:01,"cward21187","WINNER WINNER DUNKIN’ DONUT DINNER. 🍩🤣

@Buccigross @KevinWeekes https://t.co/ZAdpw3cSLF","Twitter for Android",105,,,,FALSE,TRUE,0,79,,,,,,,,"http://pbs.twimg.com/media/FJb5_ClXIAIsYu8.jpg","https://t.co/ZAdpw3cSLF","https://twitter.com/NYIslanders/status/1483647875590627330/video/1","photo","http://pbs.twimg.com/media/FJb5_ClXIAIsYu8.jpg","https://t.co/ZAdpw3cSLF","https://twitter.com/NYIslanders/status/1483647875590627330/video/1",,"x16651754 x43641364 x29881603","NYIslanders Buccigross KevinWeekes","en",,,,,,,,,,,,,,,,"x1483647875590627330","WINNER WINNER DUNKIN’ DONUT DINNER. 🍩🤣

@Buccigross @KevinWeekes https://t.co/ZAdpw3cSLF",2022-01-19 03:49:53,"Twitter Media Studio",798,79,"x16651754","NYIslanders","New York Islanders",578486,2848,86308,"Long Island, NY","The official twitter account of the New York Islanders hockey club. #Isles",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cward21187/status/1483961980742508545","Chris Ward","St. James, NY","Die Hard New York Islanders Fan, New York Yankees, New York Giants, WWE/Pro Wrestling & All Music",,FALSE,1705,4998,16,119766,188123,2015-01-27 15:59:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/3001567475/1619883935","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1360008930949296132/JVjs_OGj_normal.jpg"
"x69727534","x1483961447877074953",2022-01-20 00:35:54,"kungfu_javeous","@ericlandmine @HackingDave Just got the Dunkin’ flavor and it rips! I am thinking about basic vanilla for a post workout though since I don’t want all the caffeine before bed.","Twitter for iPhone",148,"x1483930051964030977","x791071191368929280","ericlandmine",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x791071191368929280 x57629490","ericlandmine HackingDave","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kungfu_javeous/status/1483961447877074953","Schweezy","Minneapolis, MN","security curmudgeon",,FALSE,405,437,11,4351,6406,2009-08-28 23:40:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/69727534/1427514965","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1096545847356112897/4LhHLjP1_normal.jpg"
"x2909544568","x1483961391602147329",2022-01-20 00:35:41,"theblairshow","@deefpeezy it’s some steps behind the aldi you can walk up. i think it’s a drive in entrance across from the dunkin.","Twitter for iPhone",105,"x1483960704054923267","x1369688641497296898","deefpeezy",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1369688641497296898","deefpeezy","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/theblairshow/status/1483961391602147329","blair nesmith","North Philadelphia","i do a lot of things",,FALSE,2106,1706,8,13030,12868,2014-12-07 16:57:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/2909544568/1634422616","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1483466753095127047/iW6KoucJ_normal.jpg"
"x1364440995014844418","x1483961310459088896",2022-01-20 00:35:21,"ANNLYNNAVENUE","#BoycottStarbucks

Dunkin Donuts right now: https://t.co/ij29iLyaFJ","Twitter for iPhone",83,,,,FALSE,TRUE,0,31,,,"BoycottStarbucks",,,,,"http://pbs.twimg.com/tweet_video_thumb/FJffqilXoAAAsye.jpg","https://t.co/ij29iLyaFJ","https://twitter.com/nashywil93/status/1483900529667420163/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/FJffqilXoAAAsye.jpg","https://t.co/ij29iLyaFJ","https://twitter.com/nashywil93/status/1483900529667420163/photo/1",,"x732119647248633856","nashywil93","en",,,,,,,,,,,,,,,,"x1483900529667420163","#BoycottStarbucks

Dunkin Donuts right now: https://t.co/ij29iLyaFJ",2022-01-19 20:33:50,"Twitter for iPhone",294,31,"x732119647248633856","nashywil93","Ragnarok_Begins_9/30/2022⛓",753,2677,19244,"Gotham, Metropolis, Midgard","Wrestling Fan | Superheroes | Sci Fi | #Powertv | Artist | Trump DeSantis 2024 🇺🇸 | Gamer | Geek | Horror | God of War | Black Conservative ✊🏿 PlayStation",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ANNLYNNAVENUE/status/1483961310459088896","roosevelt 🏍 💨","he/him","fast times and fast nights ❤️‍🔥","https://t.co/LysoXcRg3W",FALSE,656,1412,2,2245,5673,2021-02-24 05:04:29,FALSE,"https://t.co/LysoXcRg3W","https://presave.umusic.com/sc-fasttimes",,"https://pbs.twimg.com/profile_banners/1364440995014844418/1642303778",,"http://pbs.twimg.com/profile_images/1482672283768573954/YrBTh7GL_normal.jpg"
"x1286535148616351744","x1483961183581310976",2022-01-20 00:34:51,"haikuforsb19","@maJAHstic77 @dunkinph @SB19Official Walang ganyang klaseng choco butternut sa Dunkin Donuts dito!! 😭😭😭

@SB19Official
@keun16308352 #FELIP
#PalayoMV2MViews

#Bazinga_SB19 by #SB19 motivates me 💙","Twitter for iPhone",158,"x1483775653510262784","x1389067939865796610","maJAHstic77",FALSE,FALSE,0,0,,,"FELIP PalayoMV2MViews Bazinga_SB19 SB19",,,,,,,,,,,,,"x1389067939865796610 x272990751 x1006064993282842624 x1006064993282842624 x1144329264965115905","maJAHstic77 dunkinph SB19Official SB19Official keun16308352","tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/haikuforsb19/status/1483961183581310976","):) haiku ⁷ | @US_ATIN 🇺🇸 | WEI WUXIAN'S SMILE🌞","Bay Area, California","United we stan. Stan talent. Stan SB19. WangXian/YiZhan | WenZhou/JunZhe | PatPran/OhmNanon. Suffering from a Wen Kexing-induced qi deviation.","https://t.co/oOJSzEDFlE",FALSE,870,874,1,16840,10431,2020-07-24 05:35:13,FALSE,"https://t.co/oOJSzEDFlE","http://atinxsb19.com/",,"https://pbs.twimg.com/profile_banners/1286535148616351744/1625700565",,"http://pbs.twimg.com/profile_images/1465151910759919624/H3oHOhxZ_normal.jpg"
"x1321776191053815809","x1483961089549545473",2022-01-20 00:34:29,"alabyouken","gusto ko ng dunkin

BAZINGA KEEP THE BUZZ
@SB19Official #SB19
#SB19TopsBillboardHTS
Listen to #Bazinga_SB19","Twitter for Android",107,,,,FALSE,FALSE,1,0,,,"SB19 SB19TopsBillboardHTS Bazinga_SB19",,,,,,,,,,,,,"x1006064993282842624","SB19Official","tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/alabyouken/status/1483961089549545473","levi 🐺 | ia.","01.02.20","she/her • sb19, ken suson, & kentin ♡︎",,FALSE,190,290,0,19314,245,2020-10-29 11:29:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/1321776191053815809/1642465103",,"http://pbs.twimg.com/profile_images/1483232029445865473/SBS7G83s_normal.jpg"
